assignment_id,course_id,term_id
ds_tech_bootcamp_fall21,ds_tech_bootcamp,fall21
stat6021_fall21,stat6021,fall21
ds5100_fall21,ds5100,fall21
cs5012_fall21,cs5012,fall21
ds6030_fall21,ds6030,fall21
ds_biz_analytics_fall21,ds_biz_analytics,fall21
ds5110_fall21,ds5110,fall21
ds5001_fall21,ds5001,fall21
ds6001_fall21,ds6001,fall21
ds6011_fall21,ds6011,fall21
ds6040_fall21,ds6040,fall21
ds6002_fall21,ds6002,fall21
ds6050_fall21,ds6050,fall21
ds6013_fall21,ds6013,fall21
ds_tech_bootcamp_su21,ds_tech_bootcamp,su21
stat6021_su21,stat6021,su21
ds5100_su21,ds5100,su21
cs5012_su21,cs5012,su21
ds6030_su21,ds6030,su21
ds5110_su21,ds5110,su21
ds5001_su21,ds5001,su21
ds6001_su21,ds6001,su21
ds6011_su21,ds6011,su21
ds6040_su21,ds6040,su21
ds6002_su21,ds6002,su21
ds6050_su21,ds6050,su21
ds6013_su21,ds6013,su21
ds6012_su21,ds6012,su21
ds6003_su21,ds6003,su21
ds_tech_bootcamp_spr21,ds_tech_bootcamp,spr21
stat6021_spr21,stat6021,spr21
ds5100_spr21,ds5100,spr21
cs5012_spr21,cs5012,spr21
ds6030_spr21,ds6030,spr21
ds5110_spr21,ds5110,spr21
ds5001_spr21,ds5001,spr21
ds6001_spr21,ds6001,spr21
ds6011_spr21,ds6011,spr21
ds6040_spr21,ds6040,spr21
ds6002_spr21,ds6002,spr21
ds6050_spr21,ds6050,spr21
ds6013_spr21,ds6013,spr21
ds6003_spr21,ds6003,spr21
ds6012_spr21,ds6012,spr21
sarc5400_spr21,sarc5400,spr21
